Customer_ID,First_Name,Last_Name,Gender,Age,State,Account_Type,Account_Balance,Credit_Score,Email_Opt_In,Has_Loan,Join_Date,Loan_Amount,Business_Type,Transaction_Type,Pay_On_Time,Recent_Transaction_Amount,Transaction_Time,Transaction_Location,Avg_Monthly_Transaction,Device_Type,Account_Age_Years,Risk_Score,Is_Fraudulent
CUST00517,Linda,Johnson,Female,59.0,MI,Checking,53073.49,504.0,False,False,2010-03-20,0.0,Big,Payment,No,3473.57,2025-06-15 00:28:00,"San Diego, CA",3710.24,ATM,15.3,0.607,0
CUST00011,Jennifer,Davis,Other,36.0,PA,Savings,69202.27,443.0,False,True,2016-10-25,7369.18,Big,Payment,Yes,1674.61,2025-06-15 17:46:00,"Dallas, TX",3205.66,ATM,8.7,0.154,0
CUST00089,Mary,Martinez,Male,19.0,IL,Investment,12961.96,448.0,True,True,2003-05-23,72669.98,Big,Deposit,No,4182.06,2025-06-15 20:26:00,"Chicago, IL",9746.95,Mobile,22.1,0.462,0
CUST00360,William,Jones,Female,43.0,NY,Savings,55217.09,696.0,False,False,2021-04-18,0.0,Large,Purchase,No,2706.48,2025-06-15 20:59:00,"Philadelphia, PA",8058.21,ATM,4.2,0.523,0
CUST00406,Patricia,Rodriguez,Male,63.0,GA,Savings,48529.36,772.0,True,True,2008-11-26,35680.72,Big,Withdrawal,No,663.21,2025-06-15 16:24:00,"Dallas, TX",6755.6,ATM,16.6,0.327,0
CUST00855,Robert,Johnson,Female,39.0,TX,Investment,43772.82,595.0,False,False,2007-10-25,0.0,Small,Payment,No,4148.51,2025-06-15 10:51:00,"New York, NY",5667.55,Mobile,17.7,0.302,0
CUST00670,William,Johnson,Female,36.0,OH,Checking,16721.12,365.0,True,False,2019-10-28,0.0,Small,Purchase,Yes,3874.64,2025-06-15 16:23:00,"Chicago, IL",3988.08,ATM,5.7,0.451,0
CUST00946,Jennifer,Rodriguez,Other,41.0,TX,Savings,60534.9,464.0,True,False,2002-07-08,0.0,Large,Purchase,No,1327.58,2025-06-15 21:08:00,"New York, NY",6910.83,Mobile,23.0,0.556,0
CUST00477,William,Jones,Other,48.0,NY,Investment,80762.28,700.0,True,True,2005-03-18,76076.4,Large,Transfer,Yes,4265.07,2025-06-15 10:33:00,"Philadelphia, PA",9731.28,Web,20.3,0.629,0
CUST00563,William,Johnson,Female,77.0,NY,Investment,58896.57,397.0,True,False,2016-03-08,0.0,Small,Transfer,No,4795.7,2025-06-15 22:04:00,"San Diego, CA",811.57,Web,9.3,0.46,0
CUST00804,Elizabeth,Martinez,Female,76.0,TX,Credit,61612.63,681.0,True,True,2010-06-13,91105.94,Large,Payment,Yes,75.14,2025-06-15 18:32:00,"San Antonio, TX",8110.12,Web,15.1,0.41,0
CUST00850,James,Johnson,Female,36.0,NC,Checking,63290.8,383.0,False,False,2014-05-22,0.0,Small,Deposit,Yes,4209.95,2025-06-15 16:27:00,"Philadelphia, PA",9078.27,Mobile,11.1,0.358,0
CUST00214,Michael,Johnson,Other,68.0,OH,Checking,63412.48,628.0,False,False,2007-04-15,0.0,Small,Transfer,No,4395.43,2025-06-15 02:15:00,"Houston, TX",4104.71,Mobile,18.2,0.19,0
CUST00068,Patricia,Smith,Other,75.0,NC,Investment,53772.62,562.0,False,False,2003-01-03,0.0,Big,Withdrawal,No,1994.78,2025-06-15 22:48:00,"Houston, TX",7528.85,ATM,22.5,0.2,0
CUST00349,Mary,Johnson,Other,74.0,FL,Credit,33502.84,587.0,False,True,2007-08-19,40213.6,Big,Payment,No,4038.5,2025-06-15 21:04:00,"Philadelphia, PA",9668.14,Mobile,17.9,0.501,0
CUST00851,Elizabeth,Martinez,Female,25.0,PA,Savings,37347.58,753.0,True,True,2000-09-06,84556.64,Big,Payment,Yes,979.68,2025-06-15 04:17:00,"San Antonio, TX",9329.59,Web,24.8,0.383,0
CUST00187,Elizabeth,Rodriguez,Other,32.0,GA,Investment,20252.87,836.0,True,False,2010-11-20,0.0,Small,Purchase,Yes,1439.48,2025-06-15 23:08:00,"Los Angeles, CA",1607.48,Mobile,14.6,0.322,0
CUST00058,William,Davis,Other,24.0,PA,Checking,45988.75,731.0,True,False,2006-02-13,0.0,Small,Deposit,No,475.37,2025-06-15 01:13:00,"San Jose, CA",6034.67,Mobile,19.4,0.419,0
CUST00761,James,Rodriguez,Male,54.0,PA,Checking,48287.4,473.0,True,True,2012-05-04,92113.42,Small,Payment,Yes,384.62,2025-06-15 15:53:00,"Los Angeles, CA",6134.65,Mobile,13.2,0.086,0
CUST00953,Jennifer,Miller,Male,43.0,TX,Credit,11000.05,715.0,False,False,2020-10-31,0.0,Large,Purchase,No,3341.78,2025-06-15 17:53:00,"New York, NY",8015.62,Mobile,4.7,0.264,0
CUST00675,Mary,Smith,Male,22.0,CA,Investment,7561.97,753.0,False,False,2011-01-10,0.0,Large,Purchase,No,4854.27,2025-06-15 09:37:00,"San Diego, CA",1383.54,Web,14.5,0.573,0
CUST00617,John,Davis,Female,57.0,FL,Credit,99148.39,428.0,False,False,2019-05-12,0.0,Large,Purchase,No,1859.46,2025-06-15 04:06:00,"San Jose, CA",5768.89,Web,6.1,0.009,0
CUST00693,Michael,Rodriguez,Male,50.0,NC,Savings,85435.56,414.0,True,False,2018-12-07,0.0,Large,Transfer,Yes,1464.46,2025-06-15 04:30:00,"San Diego, CA",9842.19,Web,6.6,0.271,0
CUST00594,Mary,Rodriguez,Other,45.0,CA,Credit,74812.37,606.0,True,False,2020-08-02,0.0,Small,Transfer,Yes,1922.2,2025-06-15 22:19:00,"Philadelphia, PA",8535.74,Web,4.9,0.419,0
CUST00851,Elizabeth,Martinez,Female,25.0,PA,Savings,37347.58,753.0,True,True,2000-09-06,71057.6,Big,Deposit,Yes,4859.02,2025-06-15 03:38:00,"Los Angeles, CA",1702.57,ATM,24.8,0.369,0
CUST00101,John,Johnson,Other,27.0,MI,Credit,59768.08,415.0,True,False,2004-04-05,0.0,Big,Payment,No,1465.61,2025-06-15 05:34:00,"San Diego, CA",4994.53,Mobile,21.3,0.045,0
CUST00209,Elizabeth,Miller,Other,53.0,FL,Credit,75075.14,762.0,False,True,2019-03-13,92831.25,Big,Deposit,Yes,3364.84,2025-06-15 03:20:00,"Phoenix, AZ",8046.5,ATM,6.3,0.33,0
CUST00154,Patricia,Williams,Male,45.0,TX,Investment,5258.38,311.0,True,False,2000-08-22,0.0,Large,Payment,No,3016.1,2025-06-15 11:27:00,"Dallas, TX",5772.17,Mobile,24.9,0.539,0
