Customer_ID,First_Name,Last_Name,Gender,Age,State,Join_Date,Has_Loan,Loan_Amount,Business_Type,Pay_On_Time
CUST00957,William,Garcia,Male,67.0,IL,2013-02-12,False,0.0,Large,No
CUST00990,Patricia,Martinez,Female,62.0,MI,2020-02-20,False,0.0,Big,Yes
CUST00300,Elizabeth,Miller,Male,49.0,IL,2013-09-09,True,74365.81,Big,No
CUST00491,Michael,Johnson,Male,48.0,MI,2014-12-22,False,0.0,Small,Yes
CUST00647,James,Williams,Male,29.0,GA,2016-02-26,False,0.0,Small,No
CUST00045,Linda,Davis,Male,32.0,OH,2021-03-27,True,43316.48,Big,Yes
CUST00354,Robert,Smith,Male,47.0,TX,2022-11-04,False,0.0,Large,No
CUST00169,Mary,Williams,Male,57.0,PA,2018-12-05,False,0.0,Small,Yes
CUST00999,Robert,Johnson,Male,64.0,MI,2007-05-10,True,9142.86,Small,No
CUST00867,Patricia,Davis,Female,78.0,FL,2006-03-28,False,0.0,Big,No
CUST00984,Linda,Martinez,Female,19.0,NY,2009-12-24,False,0.0,Small,No
CUST00958,John,Williams,Other,45.0,TX,2008-06-25,True,54581.67,Small,No
CUST00102,William,Rodriguez,Male,79.0,GA,2014-12-24,False,0.0,Small,No
CUST00706,Linda,Brown,,61.0,TX,2019-01-29,False,0.0,Big,Yes
CUST00414,Michael,Jones,Female,53.0,MI,2013-09-09,True,84868.45,Large,Yes
CUST00072,Mary,Garcia,Female,19.0,NC,2013-02-06,False,0.0,Big,No
CUST00483,Elizabeth,Johnson,Other,38.0,FL,2007-06-05,True,16280.5,Small,No
CUST00476,William,Garcia,Other,70.0,NC,2019-05-26,True,75193.58,Big,Yes
CUST00008,William,Rodriguez,Other,38.0,PA,2021-08-13,False,0.0,Big,Yes
CUST00368,James,Johnson,Male,65.0,TX,2019-03-07,False,0.0,Large,No
CUST00964,Elizabeth,Rodriguez,Female,71.0,GA,2021-10-08,True,27111.81,Big,Yes
CUST00461,Patricia,Williams,Female,61.0,OH,2021-12-16,False,0.0,Large,No
CUST00940,Mary,Martinez,Female,27.0,MI,2017-09-30,False,0.0,Large,No
CUST00552,John,Jones,Other,39.0,PA,2006-08-24,False,0.0,Big,No
CUST00187,William,Brown,Female,32.0,NC,2006-10-30,True,96420.81,Large,No
CUST00047,Mary,Garcia,Male,79.0,NC,2016-07-23,True,81544.03,Large,Yes
CUST00948,Patricia,Miller,Female,70.0,TX,2007-12-25,False,0.0,Large,Yes
CUST00864,Robert,Smith,Female,77.0,NY,2009-01-13,True,6827.01,Large,No
CUST00479,Michael,Martinez,Other,77.0,MI,2022-07-28,True,64707.94,Big,Yes
CUST00893,Linda,Smith,Male,45.0,OH,2006-06-02,False,0.0,Large,No
CUST00691,Jennifer,Jones,Other,52.0,FL,2010-01-24,True,63770.53,Large,No
CUST00196,William,Davis,Male,66.0,GA,2007-03-30,False,0.0,Small,Yes
CUST00629,Jennifer,Garcia,Other,29.0,IL,2013-02-19,True,50124.56,Large,Yes
CUST00268,Robert,Williams,Female,66.0,MI,2008-04-11,True,18000.21,Small,No
CUST00889,Michael,Garcia,Other,56.0,GA,2020-11-06,False,0.0,Big,No
CUST00483,Elizabeth,Johnson,Other,38.0,FL,2007-06-05,True,9233.75,Small,No
CUST00656,Mary,Brown,Male,79.0,GA,2018-07-30,False,0.0,Large,No
CUST00212,Patricia,Garcia,Other,24.0,GA,2018-09-11,False,0.0,Big,Yes
CUST00237,Patricia,Brown,Other,79.0,CA,2012-02-01,False,0.0,Large,Yes
CUST00148,Patricia,Williams,Other,76.0,TX,2005-06-09,False,0.0,Big,Yes
CUST00360,William,Miller,Female,43.0,NY,2011-01-17,False,0.0,Big,No
CUST00947,James,Miller,Male,45.0,OH,2017-05-06,True,52680.51,Big,No
CUST00078,Linda,Williams,Female,61.0,OH,2005-07-20,False,0.0,Big,Yes
CUST00660,Robert,Davis,Other,75.0,NY,2007-04-05,True,94507.08,Large,No
CUST00057,James,Smith,Female,68.0,PA,2013-11-09,True,88113.01,Large,No
CUST00705,William,Garcia,Other,60.0,PA,2011-12-27,True,77610.31,Big,Yes
CUST00172,John,Rodriguez,Female,52.0,IL,2009-12-15,True,59578.39,Large,Yes
CUST00777,Linda,Garcia,Male,39.0,CA,2016-09-27,True,21513.56,Large,Yes
CUST00934,James,Rodriguez,Other,20.0,IL,2019-05-21,True,,Big,Yes
CUST00085,Patricia,Williams,Female,53.0,GA,2014-11-16,False,0.0,Small,
CUST00605,Michael,Johnson,Female,70.0,GA,2011-09-17,False,0.0,Large,No
CUST00866,Mary,Martinez,Other,36.0,TX,2012-02-20,False,0.0,Big,Yes
CUST00323,Elizabeth,Martinez,Male,76.0,NY,2013-11-02,True,41468.74,Large,No
CUST00675,Patricia,Miller,Other,22.0,NY,2006-01-19,False,0.0,Big,Yes
CUST00744,Linda,Johnson,Other,27.0,FL,2019-04-05,True,27632.8,Large,No
CUST00094,Patricia,Brown,Male,21.0,PA,2015-01-04,False,0.0,Big,
CUST00560,Patricia,Martinez,Other,32.0,NY,2009-06-18,False,,Large,
CUST00751,Michael,Martinez,Male,65.0,GA,2006-02-11,False,0.0,Small,Yes
CUST00306,Elizabeth,Johnson,Female,28.0,CA,2006-01-22,True,57054.74,Small,No
