Customer_ID,First_Name,Last_Name,Gender,Age,State,Account_Type,Account_Balance,Credit_Score,Email_Opt_In,Has_Loan,Join_Date,Loan_Amount,Business_Type,Transaction_Type,Pay_On_Time,Recent_Transaction_Amount,Transaction_Time,Transaction_Location,Avg_Monthly_Transaction,Device_Type,Account_Age_Years,Risk_Score,Is_Fraudulent,transaction_amount_usd
CUST00517,Linda,Johnson,Female,59.0,MI,Checking,53073.49,504.0,False,False,2010-03-20,0.0,Big,Payment,No,3473.57,2025-06-15 00:28:00,"San Diego, CA",3710.24,ATM,15.3,0.607,0,3751.66
CUST00011,Jennifer,Davis,Other,36.0,PA,Savings,69202.27,443.0,False,True,2016-10-25,7369.18,Big,Payment,Yes,1674.61,2025-06-15 17:46:00,"Dallas, TX",3205.66,ATM,8.7,0.154,0,9507.64
CUST00089,Mary,Martinez,Male,19.0,IL,Investment,12961.96,448.0,True,True,2003-05-23,72669.98,Big,Deposit,No,4182.06,2025-06-15 20:26:00,"Chicago, IL",9746.95,Mobile,22.1,0.462,0,7322.62
CUST00360,William,Jones,Female,43.0,NY,Savings,55217.09,696.0,False,False,2021-04-18,0.0,Large,Purchase,No,2706.48,2025-06-15 20:59:00,"Philadelphia, PA",8058.21,ATM,4.2,0.523,0,5990.6
CUST00406,Patricia,Rodriguez,Male,63.0,GA,Savings,48529.36,772.0,True,True,2008-11-26,35680.72,Big,Withdrawal,,663.21,2025-06-15 16:24:00,"Dallas, TX",6755.6,ATM,16.6,0.327,0,1568.63
CUST00638,William,Smith,Female,45.0,CA,Credit,88175.55,526.0,False,True,2010-12-31,,Large,Deposit,No,2412.64,2025-06-15 12:19:00,"Los Angeles, CA",1027.21,ATM,14.5,0.436,0,1568.39
CUST00855,Robert,Johnson,Female,39.0,TX,Investment,43772.82,595.0,False,False,2007-10-25,0.0,Small,Payment,No,4148.51,2025-06-15 10:51:00,"New York, NY",5667.55,Mobile,17.7,0.302,0,590.26
CUST00670,William,Johnson,Female,36.0,OH,Checking,16721.12,365.0,True,False,2019-10-28,0.0,Small,Purchase,Yes,3874.64,2025-06-15 16:23:00,"Chicago, IL",3988.08,ATM,5.7,0.451,0,8663.1
CUST00946,Jennifer,Rodriguez,Other,41.0,TX,Savings,60534.9,464.0,True,False,2002-07-08,0.0,Large,Purchase,No,1327.58,2025-06-15 21:08:00,"New York, NY",6910.83,Mobile,23.0,0.556,0,6015.14
CUST00477,William,Jones,Other,48.0,NY,Investment,80762.28,700.0,True,True,2005-03-18,76076.4,Large,Transfer,Yes,4265.07,2025-06-15 10:33:00,"Philadelphia, PA",9731.28,Web,20.3,0.629,0,7083.65
